,country,median_age_total,age_0-14_perc,age_15-24_perc,age_25-54_perc,age_55-64_perc,age_65+_perc
220,Vietnam,30.5,23.55,16.23,45.56,8.55,6.12
104,Kazakhstan,30.6,25.91,14.05,42.42,9.97,7.65
207,Turkey,30.9,24.68,15.99,43.21,8.58,7.53
13,Azerbaijan,31.3,22.95,14.84,45.39,10.17,6.64
48,Costa Rica,31.3,22.61,16.35,44.03,9.2,7.82
80,Grenada,31.5,23.99,15.03,40.38,10.52,10.08
206,Tunisia,31.6,25.15,13.99,43.38,9.54,7.95
8,Argentina,31.7,24.59,15.28,39.38,9.13,11.62
7,Antigua and Barbuda,31.9,23.09,16.83,42.19,9.83,8.06
70,French Polynesia,31.9,22.52,15.73,44.36,9.42,7.97
14,"Bahamas, The",32.0,22.55,16.4,44.14,9.16,7.75
145,New Caledonia,32.0,22.46,16.44,43.5,8.4,9.2
27,Brazil,32.0,22.33,16.36,43.86,9.12,8.33
222,Wallis and Futuna,32.2,21.83,16.3,42.08,9.79,10.01
15,Bahrain,32.3,19.08,15.65,56.04,6.28,2.95
171,Saint Martin,32.5,26.22,10.35,46.67,8.74,8.02
191,Sri Lanka,32.8,24.06,14.63,41.58,10.06,9.67
1,Albania,32.9,18.05,17.47,41.06,11.54,11.89
163,Qatar,33.2,12.63,12.35,70.59,3.42,1.0
138,Montserrat,33.2,16.5,21.52,47.43,8.45,6.1
209,Turks and Caicos Islands,33.3,21.74,13.99,53.17,6.54,4.57
154,Palau,33.4,19.69,16.68,45.89,9.65,8.08
57,Dominica,33.5,21.72,15.14,42.2,9.81,11.14
150,Northern Mariana Islands,33.6,26.63,15.59,39.96,12.37,5.44
173,Saint Vincent and the Grenadines,33.6,21.3,15.97,42.66,10.64,9.42
79,Greenland,33.9,21.11,15.48,41.21,12.96,9.24
107,"Korea, North",34.0,20.78,15.59,44.28,9.77,9.56
41,Chile,34.4,20.11,15.04,43.08,10.96,10.81
182,Singapore,34.6,12.82,16.56,50.53,10.46,9.63
77,Gibraltar,34.7,20.22,14.34,39.67,9.68,16.09
170,Saint Lucia,34.8,20.02,15.37,42.97,9.99,11.65
6,Anguilla,34.8,22.21,14.08,43.82,11.06,8.84
216,Uruguay,35.0,20.17,15.69,39.34,10.56,14.25
169,Saint Kitts and Nevis,35.0,20.32,14.54,44.6,11.9,8.64
9,Armenia,35.1,18.94,12.89,43.43,13.41,11.33
